Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine,Code de la discipline,Discipline,Sigle,Spécialité,Nombre de réponses,Taux d'insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des emplois situés en dehors de la région (y compris à l'étranger),Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Code du secteur disciplinaire SISE,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,cle_DISC,Prof. libérale. indépendant. chef d’entreprise,Fonctionnaire,statut_cdi,statut_conspe,CDD,Vacataire,Intérimaire,Intermittent du spectacle,Contrat de professionnalisa tion,Emplois aidés (Contrat Initiative Emploi…),Volontariat international,Vous-même,La fonction publique (d'etat. territoriale ou hospitalière),Une entreprise privée,Une entreprise publique,Une association,Une personne exerçant une profession libérale ou un indépendant,Un particulier,Agriculture. sylviculture et pêche,Industries (manufacturières.  extractives et autres),Construction,Commerce. transports. héberg-ement et restauration,Information et communication,Activités financières et d’assurance,Activités spécialisées. scientifiques et techniques,Activités de services administratifs et de soutien,Enseignement,Administra tion publique (hors ens.),Santé humaine et action sociale,Arts. spectacles et activités récréatives,Autres activités de service,Personnel de catégorie A de la fonction publique,Ingénieur. cadre. prof. libérales. prof. intellectuelles sup,Personnel de catégorie B de la fonction publique,Emploi de niveau intermédiaire : technicien. agent de maîtrise…,Personnel de catégorie C de la fonction publique,Manœuvre. ouvrier,Employé de bureau. de commerce. personnel de service
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences humaines et sociales>Information communication>Services et réseaux de communication,SHS,Sciences humaines et sociales,disc10,Information communication,,Services et réseaux de communication,90,82,53,19,78,87,1300,20300,ns,ns,31,47,32,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences fondamentales>Chimie,STS,Sciences. technologies et santé,disc14,Sciences fondamentales,,Chimie,73,80,80,6,57,96,1520,23700,ns,ns,40,40,59,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,107,84,78,28,85,94,1500,23400,1300,1660,30,41,6,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de la vie et de la terre>Sciences de la vie et de la terre,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,disc13,Sciences de la vie et de la terre,203,94,83,8,58,92,1480,23000,1360,1650,28,34,67,9.9,1870,,1490,2280,disc13_30,3,10,45,,37,0,4,0,2,0,0,3,38,7,48,3,1,0,7,18,0,7,0,0,10,1,4,12,36,2,4,3,5,14,60,4,4,10
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de la vie et de la terre>Génie biologique,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,GB,Génie biologique,172,94,86,8,56,91,1410,22000,1350,1600,27,38,77,9.9,1870,,1490,2280,GB_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Gestion logistique et transport,DEG,Droit. économie et gestion,disc04,Gestion,GLT,Gestion logistique et transport,103,87,41,4,63,95,1500,23400,1280,1730,32,35,42,9.9,1870,,1490,2280,GLT_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie civil,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GC,Génie civil,83,98,76,10,77,99,1650,25700,1440,1920,37,21,14,9.9,1870,,1490,2280,GC_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Droit. économie et gestion>Autres formations juridiques. économiques et de gestion>Gestion administrative et commerciale,DEG,Droit. économie et gestion,disc05,Autres formations juridiques. économiques et de gestion,GAC,Gestion administrative et commerciale,17,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GAC_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie électrique et informatique industrielle,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GEII,Génie électrique et informatique industrielle,6,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GEII_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie du conditionnement et de l'emballage,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GCE,Génie du conditionnement et de l'emballage,2,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GCE_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
